Overall,City,Winter,Spring,Summer,Fall
44,"Santa Maria, CA",14,39,75,50
44,"Olathe, KS",48,64,40,21
44,"O Fallon, MO",42,66,37,32
44,"Saint Petersburg, FL",30,32,72,49
44,"Hattiesburg, MS",59,43,35,39
44,"Hialeah, FL",38,41,44,60
44,"Miami Gardens, FL",38,41,44,60
45,"Roanoke, VA",26,47,65,42
45,"Lees Summit, MO",48,59,35,36
45,"Round Rock, TX",48,54,33,49
45,"Warner Robins, GA",40,41,64,38
45,"Newport News, VA",18,44,60,66
46,"Toms River, NJ",29,46,57,54
46,"Clearwater, FL",32,30,86,34
46,"Largo, FL",32,30,86,34
46,"Bryan, TX",45,67,31,42
46,"Frederick, MD",41,40,37,68
46,"Pearland, TX",64,57,23,41
47,"College Station, TX",45,67,32,42
47,"Clarksville, TN",65,47,24,50
47,"Lincoln, NE",54,63,46,23
47,"Owensboro, KY",66,48,31,38
47,"The Woodlands, TX",48,65,27,52
47,"Lubbock, TX",27,58,58,49
48,"Killeen, TX",34,64,49,43
48,"Carmel, IN",70,46,32,40
48,"Columbia, MO",48,64,35,43
48,"Allentown, PA",45,46,54,50
48,"Santa Clarita, CA",64,31,25,80
48,"Simi Valley, CA",64,31,25,80
49,"Casper, WY",55,55,29,56
49,"Lawton, OK",33,66,59,37
49,"Saint Joseph, MO",58,62,43,31
49,"Evansville, IN",71,53,28,46
49,"Lafayette, LA",75,47,29,47
49,"Chula Vista, CA",30,35,68,70
49,"Springfield, MO",44,68,35,53
50,"Edinburg, TX",80,52,33,28
50,"Bowling Green, KY",65,54,31,50
50,"Laredo, TX",66,41,45,51
50,"North Charleston, SC",38,40,72,54
50,"Mobile, AL",55,43,71,31
51,"Bolingbrook, IL",68,53,39,41
51,"McAllen, TX",75,50,39,34
51,"San Diego, CA",36,36,65,71
51,"Honolulu, HI",60,42,43,62
51,"Pearl City, HI",60,42,43,62
51,"East Honolulu, HI",60,42,43,62
52,"Mission, TX",75,50,39,34
52,"Pharr, TX",75,50,39,34
52,"Springfield, IL",60,65,44,37
52,"Savannah, GA",34,43,74,59
52,"Philadelphia, PA",44,57,56,55
52,"Montgomery, AL",45,51,64,49
52,"Peoria, IL",67,68,39,31
53,"Woonsocket, RI",39,45,67,59
53,"Pawtucket, RI",39,45,67,59
53,"High Point, NC",28,56,69,58
53,"Greensboro, NC",28,56,69,58
53,"Grand Island, NE",62,69,54,28
54,"Paterson, NJ",43,56,58,63
54,"Plano, TX",50,51,37,76
54,"Frisco, TX",50,51,37,76
54,"Carrollton, TX",50,51,37,76
54,"Richardson, TX",50,51,37,76
54,"Colorado Springs, CO",43,52,79,42
55,"Birmingham, AL",58,60,56,47
55,"Norfolk, VA",24,54,74,68
55,"Lafayette, IN",68,62,50,40
55,"Rapid City, SD",63,68,47,46
55,"Decatur, IL",73,59,49,40
55,"Rock Springs, WY",74,49,33,64
56,"Murfreesboro, TN",53,57,45,71
56,"Jacksonville, NC",29,58,74,62
56,"Dale City, VA",37,61,64,64
56,"Lewiston, ME",35,49,68,75
56,"Auburn, ME",35,49,68,75
56,"Toledo, OH",83,59,38,39
57,"Roswell, GA",37,67,72,55
57,"Newark, DE",47,55,60,68
57,"Bear, DE",47,55,60,68
57,"Middletown, DE",47,55,60,68
57,"Wilmington, DE",47,55,60,68
57,"Cincinnati, OH",69,61,47,54
57,"Covington, KY",69,61,47,54
58,"San Francisco, CA",54,52,76,43
58,"San Mateo, CA",54,52,76,43
58,"Daly City, CA",54,52,76,43
58,"Huntington, WV",67,57,53,55
58,"Gillette, WY",66,69,34,63
59,"Parkersburg, WV",63,59,58,53
59,"Vancouver, WA",67,63,49,56
59,"Spokane, WA",72,69,33,60
59,"Spokane Valley, WA",72,69,33,60
59,"Brownsville, TX",87,73,30,37
59,"Reading, PA",54,55,55,71
60,"Rochester, MI",93,39,20,84
60,"Sterling Heights, MI",93,39,20,84
60,"Troy, MI",93,39,20,84
60,"Southfield, MI",93,39,20,84
60,"Hartford, CT",46,63,66,64
60,"New Britain, CT",46,63,66,64
61,"Kendall, FL",49,39,87,60
61,"Passaic, NJ",52,61,63,65
61,"Clifton, NJ",52,61,63,65
61,"New York, NY",49,57,66,70
61,"Jersey City, NJ",49,57,66,70
61,"Union City, NJ",49,57,66,70
62,"Palatine, IL",79,70,50,39
62,"Arlington Heights, IL",79,70,51,39
62,"Evanston, IL",79,70,51,39
62,"Iowa City, IA",78,70,56,35
62,"Pocatello, ID",96,58,24,64
62,"Lakeland, FL",78,37,51,82
63,"Lexington, KY",82,63,51,49
63,"Brookings, SD",64,47,65,68
63,"New Haven, CT",41,73,76,58
63,"Tallahassee, FL",64,47,80,52
63,"Waterbury, CT",36,64,79,68
63,"San Leandro, CA",52,53,83,56
63,"Alameda, CA",52,53,83,56
64,"Oakland, CA",52,53,83,56
64,"Berkeley, CA",52,53,83,56
64,"Richmond, CA",52,53,83,56
64,"Bloomington, IN",84,61,50,52
64,"Sioux City, IA",77,67,64,39
65,"Baton Rouge, LA",71,58,62,58
65,"Columbus, OH",77,68,54,51
65,"Asheville, NC",46,51,81,66
65,"Lowell, MA",46,74,70,61
65,"Lawrence, MA",46,74,70,61
65,"Springdale, AR",69,50,43,89
66,"Davenport, IA",80,72,63,34
66,"Great Falls, MT",63,71,57,64
66,"Champaign, IL",72,71,65,44
66,"Chattanooga, TN",62,65,58,74
66,"Detroit, MI",88,65,47,55
66,"Warren, MI",88,65,47,55
66,"Dearborn, MI",88,65,47,55
67,"Charlotte, NC",49,72,76,61
67,"Town 'n' Country, FL",51,44,100,61
67,"Renton, WA",60,66,65,73
67,"New Orleans, LA",66,66,57,79
67,"Metairie, LA",66,66,57,79
68,"Bridgeport, CT",55,76,71,63
68,"Danbury, CT",48,67,72,81
68,"Nashua, NH",58,65,75,69
68,"Hillsboro, OR",74,74,52,67
68,"Beaverton, OR",74,74,52,67
68,"Coral Springs, FL",39,48,96,82
68,"Sunrise, FL",39,48,96,82
68,"Lauderhill, FL",39,48,96,82
69,"Manchester, NH",59,74,69,67
69,"Schenectady, NY",89,43,46,91
69,"Dallas, TX",41,81,79,71
69,"Salem, OR",80,74,54,62
70,"Aurora, IL",88,72,60,52
70,"Naperville, IL",88,72,60,52
70,"Elgin, IL",88,72,60,52
70,"Hampton, VA",40,73,82,79
70,"Dover, NH",51,77,77,72
70,"Rochester, NH",51,77,77,72
71,"Irving, TX",42,88,80,66
71,"Lewisville, TX",42,88,80,66
71,"Flower Mound, TX",42,88,80,66
71,"Waukesha, WI",90,60,46,81
71,"Muncie, IN",83,77,64,53
71,"Cedar Rapids, IA",89,77,68,39
72,"Lakewood, CO",69,70,57,86
72,"Arvada, CO",69,70,57,86
72,"Westminster, CO",69,70,57,86
72,"Bozeman, MT",85,78,36,76
72,"Missoula, MT",93,73,37,72
72,"Salt Lake City, UT",80,78,46,78
73,"Aberdeen, SD",93,69,63,57
73,"Layton, UT",83,81,48,71
73,"Biloxi, MS",67,76,93,42
73,"Idaho Falls, ID",99,69,34,79
73,"Duluth, MN",77,67,69,70
73,"Raleigh, NC",46,75,84,75
73,"Durham, NC",46,75,84,75
73,"Cary, NC",46,75,84,75
74,"Bismarck, ND",86,73,62,62
74,"Laramie, WY",75,75,59,78
74,"Bethlehem, PA",74,67,69,77
74,"Seattle, WA",68,71,72,75
74,"Bellevue, WA",68,71,72,75
75,"Pompano Beach, FL",54,56,91,85
75,"Deerfield Beach, FL",54,56,91,85
75,"Rochester, MN",79,75,67,64
75,"Rutland, VT",76,64,74,78
75,"Newton, MA",59,79,77,72
76,"Framingham, MA",59,79,78,72
76,"Knoxville, TN",72,84,67,67
76,"Jacksonville, FL",58,62,96,73
76,"Port Saint Lucie, FL",73,60,73,86
76,"Morgantown, WV",71,76,79,63
76,"Charleston, WV",73,72,78,67
77,"Akron, OH",83,74,66,66
77,"Racine, WI",87,83,65,54
77,"Cheyenne, WY",68,64,81,78
77,"Butte, MT",89,82,46,79
77,"Waukegan, IL",81,85,70,56
77,"Ann Arbor, MI",92,76,55,71
78,"Baytown, TX",92,62,53,88
78,"Pasadena, TX",92,62,53,88
78,"League City, TX",92,62,53,88
78,"Austin, TX",57,89,78,74
78,"Brockton, MA",79,78,73,65
78,"Quincy, MA",79,78,73,65
79,"Gresham, OR",81,81,63,79
79,"Corpus Christi, TX",84,84,72,61
79,"Wheeling, WV",82,79,71,68
79,"Little Rock, AR",71,88,63,83
79,"Fort Lauderdale, FL",57,60,92,94
79,"Hollywood, FL",57,60,92,94
79,"Kenosha, WI",91,79,67,65
80,"Plantation, FL",57,60,92,94
80,"Madison, WI",71,91,80,61
80,"Waterloo, IA",87,90,78,47
80,"Bloomington, IL",95,73,68,69
80,"Billings, MT",86,84,52,84
81,"Portland, OR",85,78,69,74
81,"Centennial, CO",61,80,93,73
81,"Highlands Ranch, CO",61,80,93,73
81,"Denver, CO",61,80,93,73
81,"Sioux Falls, SD",83,90,80,54
81,"Oshkosh, WI",91,80,71,66
82,"Memphis, TN",73,92,70,77
82,"Southaven, MS",73,92,70,77
82,"Green Bay, WI",83,82,77,70
82,"Bellevue, NE",81,90,83,56
82,"Richmond, VA",59,82,87,87
82,"San Antonio, TX",67,86,88,74
83,"Omaha, NE",77,94,83,58
83,"Dover, DE",59,85,85,87
83,"South Bend, IN",92,84,74,67
83,"Eugene, OR",81,84,73,80
83,"Nashville, TN",81,87,67,84
83,"Aurora, CO",67,83,86,83
84,"Pittsburgh, PA",85,83,79,73
84,"West Fargo, ND",96,78,71,75
84,"Fargo, ND",96,78,71,75
84,"Watertown, SD",97,81,70,73
84,"Bellingham, WA",66,79,82,96
84,"Waldorf, MD",71,85,81,85
85,"Saint Paul, MN",90,83,77,72
85,"Cleveland, OH",92,82,68,81
85,"New Bedford, MA",62,87,88,87
85,"Fall River, MA",62,87,88,87
85,"Scranton, PA",82,77,78,88
85,"Saint Cloud, MN",83,81,75,86
86,"Norwalk, CT",60,87,89,88
86,"Tacoma, WA",78,81,77,90
86,"Stamford, CT",60,87,89,88
86,"Kailua, HI",86,82,73,86
86,"Kalamazoo, MI",95,82,74,78
86,"Centreville, VA",64,89,82,91
87,"Virginia Beach, VA",62,86,91,89
87,"Concord, NH",72,85,82,90
87,"Eau Claire, WI",79,84,82,83
87,"Saint Louis, MO",78,99,76,78
87,"Atascocita, TX",74,89,83,87
87,"Everett, WA",71,85,82,92
88,"Wichita, KS",72,95,86,81
88,"Baltimore, MD",75,88,85,93
88,"Ellicott City, MD",75,88,85,93
88,"Glen Burnie, MD",75,88,85,93
88,"Washington, DC",65,93,90,88
88,"Arlington, VA",65,93,90,88
88,"Alexandria, VA",65,93,90,88
89,"Flint, MI",88,90,80,82
89,"South Portland, ME",70,91,90,90
89,"Portland, ME",70,91,90,90
89,"Minot, ND",98,80,81,80
89,"Miami, FL",68,83,100,90
89,"Miami Beach, FL",68,83,100,90
90,"West Palm Beach, FL",73,78,98,92
90,"Springfield, MA",76,88,92,88
90,"Minneapolis, MN",90,86,84,83
90,"Brooklyn Park, MN",90,86,85,83
90,"Plymouth, MN",90,86,85,83
91,"Hammond, IN",98,75,75,98
91,"Gary, IN",98,75,75,98
91,"Appleton, WI",98,77,79,94
91,"Louisville, KY",91,93,75,90
91,"Camden, NJ",81,86,90,92
91,"Anchorage, AK",96,70,85,99
92,"Auburn, WA",82,90,87,93
92,"Kent, WA",82,90,87,93
92,"Federal Way, WA",82,90,87,93
92,"Houston, TX",85,91,87,91
92,"Kenner, LA",91,85,100,76
92,"Albany, NY",84,89,91,92
93,"Fairbanks, AK",92,68,95,100
93,"Dayton, OH",89,94,89,85
93,"Westland, MI",94,95,89,80
93,"Livonia, MI",94,95,90,80
93,"Schaumburg, IL",85,97,94,81
93,"Yonkers, NY",77,94,92,96
93,"New Rochelle, NY",77,94,92,96
93,"Mount Vernon, NY",77,94,92,96
94,"Des Moines, IA",96,100,89,72
94,"Chicago, IL",95,93,87,84
94,"Cicero, IL",95,93,88,84
94,"Erie, PA",100,90,80,97
95,"Milwaukee, WI",87,99,96,80
95,"Newark, NJ",84,93,93,96
95,"Elizabeth, NJ",84,93,93,96
95,"Montpelier, VT",89,92,89,96
95,"Barre, VT",89,92,89,96
95,"Rockford, IL",92,99,95,82
96,"Farmington, MI",97,95,87,90
96,"Hilo, HI",100,87,86,98
96,"Worcester, MA",85,95,97,97
96,"Fort Wayne, IN",96,97,94,85
96,"Winooski, VT",91,92,95,97
96,"Burlington, VT",91,92,95,97
97,"Lansing, MI",95,96,94,92
97,"Bangor, ME",86,96,95,99
97,"Boston, MA",86,98,99,95
97,"Cambridge, MA",86,98,99,95
97,"Lynn, MA",86,98,99,95
97,"Somerville, MA",86,98,99,95
98,"Indianapolis, IN",98,100,90,91
98,"Grand Forks, ND",100,96,94,93
98,"Bloomington, MN",97,98,96,91
98,"Grand Rapids, MI",97,99,95,94
98,"Wyoming, MI",97,99,96,94
98,"Parma, OH",98,96,95,97
99,"Rochester, NY",99,96,97,95
99,"Providence, RI",94,97,97,99
99,"Warwick, RI",94,97,97,99
99,"Cranston, RI",94,97,97,99
99,"Canton, OH",97,98,99,98
99,"Syracuse, NY",99,99,98,98
100,"Buffalo, NY",100,96,97,99
100,"Cheektowaga, NY",100,96,97,99
100,"Youngstown, OH",98,100,99,98
100,"Sitka, AK",99,100,98,100
100,"Ketchikan, AK",98,100,100,100
100,"Juneau, AK",100,100,100,100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
